branch,order_id,order_dt,category,menu,sweet_level,price,cost,qty,revenue,gross_profit,gross_margin,trans_type,payment,gender,membership,member_id,time_of_day,is_holiday,is_weekend,order_wait_time,order_wait_time_cat,date,day_name,iso_week_number
alpha,alpha032424,1/1/2024 13:20:00,coffee,Americano,0.25,45,14.4,1,45,30.6,0.68,to go,mobile,M,FALSE,,afternoon,TRUE,FALSE,2.758358175,short,1/1/2024,Monday,1
alpha,alpha032425,1/1/2024 13:24:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,to go,mobile,F,FALSE,,afternoon,TRUE,FALSE,15.3696876,very long,1/1/2024,Monday,1
alpha,alpha032425,1/1/2024 13:24:00,bakery,Sandwich,,80,28,1,80,52,0.65,to go,mobile,F,FALSE,,afternoon,TRUE,FALSE,15.3696876,very long,1/1/2024,Monday,1
alpha,alpha032425,1/1/2024 13:24:00,bakery,Donut,,40,12,1,40,28,0.7,to go,mobile,F,FALSE,,afternoon,TRUE,FALSE,15.3696876,very long,1/1/2024,Monday,1
alpha,alpha032425,1/1/2024 13:24:00,coffee,Iced Latte,0.5,65,22.75,1,65,42.25,0.65,to go,mobile,F,FALSE,,afternoon,TRUE,FALSE,15.3696876,very long,1/1/2024,Monday,1
alpha,alpha032426,1/1/2024 13:28:00,coffee,Iced Americano,0.5,45,13.5,1,45,31.5,0.7,to go,mobile,F,FALSE,,afternoon,TRUE,FALSE,7.258820128,moderate,1/1/2024,Monday,1
alpha,alpha032426,1/1/2024 13:28:00,bakery,Muffin,,60,27,1,60,33,0.55,to go,mobile,F,FALSE,,afternoon,TRUE,FALSE,7.258820128,moderate,1/1/2024,Monday,1
alpha,alpha032426,1/1/2024 13:28:00,bakery,Sandwich,,80,28,2,160,104,0.65,eat in,mobile,F,FALSE,,afternoon,TRUE,FALSE,7.258820128,moderate,1/1/2024,Monday,1
alpha,alpha032427,1/1/2024 13:34:00,tea,Thai Tea,0.25,70,17.5,1,70,52.5,0.75,to go,mobile,F,FALSE,,afternoon,TRUE,FALSE,3.007703527,short,1/1/2024,Monday,1
alpha,alpha032428,1/1/2024 13:35:00,smoothie,Kiwi Smoothie,0.5,90,40.5,1,90,49.5,0.55,to go,mobile,F,FALSE,,afternoon,TRUE,FALSE,2.765889416,short,1/1/2024,Monday,1
alpha,alpha032429,1/1/2024 13:52:00,bakery,Cheesecake,,120,72,2,240,96,0.4,to go,mobile,F,FALSE,,afternoon,TRUE,FALSE,8.479722632,long,1/1/2024,Monday,1
alpha,alpha032429,1/1/2024 13:52:00,bakery,Donut,,40,12,2,80,56,0.7,to go,mobile,F,FALSE,,afternoon,TRUE,FALSE,8.479722632,long,1/1/2024,Monday,1
alpha,alpha032430,1/1/2024 13:57:00,bakery,Donut,,40,12,2,80,56,0.7,to go,mobile,F,TRUE,853,afternoon,TRUE,FALSE,4.990893512,short,1/1/2024,Monday,1
alpha,alpha032430,1/1/2024 13:57:00,coffee,Iced Latte,0.5,65,22.75,2,130,84.5,0.65,to go,mobile,F,TRUE,853,afternoon,TRUE,FALSE,4.990893512,short,1/1/2024,Monday,1
alpha,alpha032431,1/1/2024 13:59:00,bakery,Croissant,,85,46.75,1,85,38.25,0.45,delivery,mobile,F,TRUE,901,afternoon,TRUE,FALSE,5.793087526,moderate,1/1/2024,Monday,1
alpha,alpha032431,1/1/2024 13:59:00,tea,Yuzu Tea,0.25,70,24.5,2,140,91,0.65,delivery,mobile,F,TRUE,901,afternoon,TRUE,FALSE,5.793087526,moderate,1/1/2024,Monday,1
alpha,alpha032432,1/1/2024 14:02:00,bakery,Donut,,40,12,4,160,112,0.7,delivery,mobile,M,TRUE,1682,afternoon,TRUE,FALSE,20.23862148,very long,1/1/2024,Monday,1
alpha,alpha032432,1/1/2024 14:02:00,coffee,Iced Latte,0.5,65,22.75,4,260,169,0.65,delivery,mobile,M,TRUE,1682,afternoon,TRUE,FALSE,20.23862148,very long,1/1/2024,Monday,1
alpha,alpha032432,1/1/2024 14:02:00,coffee,Cappuccino,1,75,27.75,2,150,94.5,0.63,delivery,mobile,M,TRUE,1682,afternoon,TRUE,FALSE,20.23862148,very long,1/1/2024,Monday,1
alpha,alpha032433,1/1/2024 14:03:00,bakery,Donut,,40,12,2,80,56,0.7,to go,cash,F,FALSE,,afternoon,TRUE,FALSE,13.18862199,very long,1/1/2024,Monday,1
alpha,alpha032433,1/1/2024 14:03:00,tea,Thai Tea,0.25,70,17.5,2,140,105,0.75,to go,cash,F,FALSE,,afternoon,TRUE,FALSE,13.18862199,very long,1/1/2024,Monday,1
alpha,alpha032434,1/1/2024 14:14:00,bakery,Muffin,,60,27,1,60,33,0.55,eat in,credit card,M,FALSE,,afternoon,TRUE,FALSE,4.716187426,short,1/1/2024,Monday,1
alpha,alpha032434,1/1/2024 14:14:00,coffee,Iced Americano,1,45,13.5,1,45,31.5,0.7,eat in,credit card,M,FALSE,,afternoon,TRUE,FALSE,4.716187426,short,1/1/2024,Monday,1
alpha,alpha032435,1/1/2024 14:22:00,coffee,Iced Americano,0.5,45,13.5,1,45,31.5,0.7,to go,mobile,M,FALSE,,afternoon,TRUE,FALSE,2.718754269,short,1/1/2024,Monday,1
alpha,alpha032436,1/1/2024 14:27:00,bakery,Donut,,40,12,1,40,28,0.7,to go,credit card,F,TRUE,1656,afternoon,TRUE,FALSE,8.067712686,long,1/1/2024,Monday,1
alpha,alpha032436,1/1/2024 14:27:00,coffee,Iced Americano,0.75,45,13.5,1,45,31.5,0.7,to go,credit card,F,TRUE,1656,afternoon,TRUE,FALSE,8.067712686,long,1/1/2024,Monday,1
alpha,alpha032436,1/1/2024 14:27:00,bakery,Muffin,,60,27,1,60,33,0.55,to go,credit card,F,TRUE,1656,afternoon,TRUE,FALSE,8.067712686,long,1/1/2024,Monday,1
alpha,alpha032437,1/1/2024 14:31:00,tea,Green Tea,0,65,24.7,1,65,40.3,0.62,to go,mobile,M,TRUE,71,afternoon,TRUE,FALSE,2.994646549,short,1/1/2024,Monday,1
alpha,alpha032438,1/1/2024 14:41:00,bakery,Muffin,,60,27,1,60,33,0.55,to go,cash,F,TRUE,879,afternoon,TRUE,FALSE,7.601029593,moderate,1/1/2024,Monday,1
alpha,alpha032438,1/1/2024 14:41:00,smoothie,Kiwi Smoothie,0.25,90,40.5,1,90,49.5,0.55,to go,cash,F,TRUE,879,afternoon,TRUE,FALSE,7.601029593,moderate,1/1/2024,Monday,1
alpha,alpha032439,1/1/2024 14:44:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,to go,mobile,M,FALSE,,afternoon,TRUE,FALSE,2.014352023,short,1/1/2024,Monday,1
alpha,alpha032440,1/1/2024 14:59:00,smoothie,Watermelon Smoothie,0,75,30,1,75,45,0.6,to go,mobile,F,TRUE,26,afternoon,TRUE,FALSE,2.68378675,short,1/1/2024,Monday,1
alpha,alpha032441,1/1/2024 15:03:00,coffee,Americano,0.5,45,14.4,2,90,61.2,0.68,to go,credit card,F,TRUE,62,afternoon,TRUE,FALSE,3.903354774,short,1/1/2024,Monday,1
alpha,alpha032442,1/1/2024 15:04:00,bakery,Muffin,,60,27,1,60,33,0.55,to go,credit card,M,TRUE,843,afternoon,TRUE,FALSE,4.017578457,short,1/1/2024,Monday,1
alpha,alpha032442,1/1/2024 15:04:00,coffee,Iced Americano,0.25,45,13.5,1,45,31.5,0.7,to go,credit card,M,TRUE,843,afternoon,TRUE,FALSE,4.017578457,short,1/1/2024,Monday,1
alpha,alpha032443,1/1/2024 15:05:00,tea,Thai Tea,0.5,70,17.5,1,70,52.5,0.75,eat in,cash,F,FALSE,,afternoon,TRUE,FALSE,5.830676218,moderate,1/1/2024,Monday,1
alpha,alpha032444,1/1/2024 15:09:00,bakery,Donut,,40,12,1,40,28,0.7,to go,credit card,M,TRUE,1653,afternoon,TRUE,FALSE,5.879808565,moderate,1/1/2024,Monday,1
alpha,alpha032444,1/1/2024 15:09:00,coffee,Iced Latte,0.5,65,22.75,1,65,42.25,0.65,to go,credit card,M,TRUE,1653,afternoon,TRUE,FALSE,5.879808565,moderate,1/1/2024,Monday,1
alpha,alpha032445,1/1/2024 15:23:00,smoothie,Mango Smoothie,0.25,90,31.5,1,90,58.5,0.65,to go,credit card,F,TRUE,889,afternoon,TRUE,FALSE,3.580518024,short,1/1/2024,Monday,1
alpha,alpha032446,1/1/2024 15:26:00,smoothie,Mango Smoothie,0.75,90,31.5,4,360,234,0.65,to go,mobile,F,FALSE,,afternoon,TRUE,FALSE,6.263605351,moderate,1/1/2024,Monday,1
alpha,alpha032447,1/1/2024 15:28:00,coffee,Mocha,0.5,70,30.1,3,210,119.7,0.57,to go,credit card,M,TRUE,52,afternoon,TRUE,FALSE,5.907473619,moderate,1/1/2024,Monday,1
alpha,alpha032448,1/1/2024 15:34:00,coffee,Latte,0.25,65,27.95,3,195,111.15,0.57,delivery,credit card,M,TRUE,52,afternoon,TRUE,FALSE,6.835862317,moderate,1/1/2024,Monday,1
alpha,alpha032448,1/1/2024 15:34:00,tea,Yuzu Tea,0.25,70,24.5,2,140,91,0.65,delivery,credit card,M,TRUE,52,afternoon,TRUE,FALSE,6.835862317,moderate,1/1/2024,Monday,1
alpha,alpha032449,1/1/2024 15:39:00,bakery,Sandwich,,80,28,2,160,104,0.65,delivery,mobile,F,TRUE,12,afternoon,TRUE,FALSE,5.45154943,moderate,1/1/2024,Monday,1
alpha,alpha032449,1/1/2024 15:39:00,coffee,Mocha Cold Brew,0.25,165,79.2,1,165,85.8,0.52,delivery,mobile,F,TRUE,12,afternoon,TRUE,FALSE,5.45154943,moderate,1/1/2024,Monday,1
alpha,alpha032450,1/1/2024 15:46:00,bakery,Donut,,40,12,2,80,56,0.7,eat in,mobile,F,FALSE,,afternoon,TRUE,FALSE,5.596632703,moderate,1/1/2024,Monday,1
alpha,alpha032450,1/1/2024 15:46:00,coffee,Iced Latte,1,65,22.75,2,130,84.5,0.65,eat in,mobile,F,FALSE,,afternoon,TRUE,FALSE,5.596632703,moderate,1/1/2024,Monday,1
alpha,alpha032451,1/1/2024 15:47:00,smoothie,Mango Smoothie,0.75,90,31.5,4,360,234,0.65,to go,mobile,F,FALSE,,afternoon,TRUE,FALSE,6.84595294,moderate,1/1/2024,Monday,1
alpha,alpha032452,1/1/2024 15:52:00,tea,Bubble Tea,0.75,70,17.5,1,70,52.5,0.75,eat in,mobile,F,TRUE,901,afternoon,TRUE,FALSE,2.374202314,short,1/1/2024,Monday,1
alpha,alpha032453,1/1/2024 16:14:00,bakery,Donut,,40,12,1,40,28,0.7,to go,credit card,F,TRUE,1686,afternoon,TRUE,FALSE,8.26245964,long,1/1/2024,Monday,1
alpha,alpha032453,1/1/2024 16:14:00,bakery,Cheesecake,,120,72,1,120,48,0.4,to go,credit card,F,TRUE,1686,afternoon,TRUE,FALSE,8.26245964,long,1/1/2024,Monday,1
alpha,alpha032454,1/1/2024 16:29:00,coffee,Mocha,0.25,70,30.1,1,70,39.9,0.57,eat in,mobile,F,FALSE,,afternoon,TRUE,FALSE,2.34076617,short,1/1/2024,Monday,1
alpha,alpha032455,1/1/2024 16:30:00,tea,Green Tea,0,65,24.7,1,65,40.3,0.62,delivery,credit card,M,TRUE,1631,afternoon,TRUE,FALSE,16.29587484,very long,1/1/2024,Monday,1
alpha,alpha032455,1/1/2024 16:30:00,bakery,Sandwich,,80,28,1,80,52,0.65,delivery,credit card,M,TRUE,1631,afternoon,TRUE,FALSE,16.29587484,very long,1/1/2024,Monday,1
alpha,alpha032455,1/1/2024 16:30:00,coffee,Nitro Flat White,0,155,74.4,2,310,161.2,0.52,delivery,credit card,M,TRUE,1631,afternoon,TRUE,FALSE,16.29587484,very long,1/1/2024,Monday,1
alpha,alpha032455,1/1/2024 16:30:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,delivery,credit card,M,TRUE,1631,afternoon,TRUE,FALSE,16.29587484,very long,1/1/2024,Monday,1
alpha,alpha032456,1/1/2024 16:35:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,to go,mobile,M,FALSE,,afternoon,TRUE,FALSE,2.014352023,short,1/1/2024,Monday,1
alpha,alpha032457,1/1/2024 16:46:00,tea,Yuzu Tea,0.5,70,24.5,1,70,45.5,0.65,to go,mobile,F,TRUE,14,afternoon,TRUE,FALSE,6.326758754,moderate,1/1/2024,Monday,1
alpha,alpha032457,1/1/2024 16:46:00,tea,Bubble Tea,0.75,70,17.5,1,70,52.5,0.75,eat in,mobile,M,FALSE,,afternoon,TRUE,FALSE,6.326758754,moderate,1/1/2024,Monday,1
alpha,alpha032458,1/1/2024 16:50:00,bakery,Cookie,,85,29.75,3,255,165.75,0.65,to go,credit card,M,TRUE,871,afternoon,TRUE,FALSE,4.475161966,short,1/1/2024,Monday,1
alpha,alpha032459,1/1/2024 17:04:00,coffee,Mocha,0.25,70,30.1,2,140,79.8,0.57,to go,credit card,F,TRUE,42,evening,TRUE,FALSE,6.626913973,moderate,1/1/2024,Monday,1
alpha,alpha032459,1/1/2024 17:04:00,bakery,Croissant,,85,46.75,2,170,76.5,0.45,to go,credit card,F,TRUE,42,evening,TRUE,FALSE,6.626913973,moderate,1/1/2024,Monday,1
alpha,alpha032460,1/1/2024 17:05:00,coffee,Latte,0.5,65,27.95,1,65,37.05,0.57,to go,credit card,M,FALSE,,evening,TRUE,FALSE,2.886643306,short,1/1/2024,Monday,1
alpha,alpha032461,1/1/2024 17:06:00,bakery,Cheesecake,,120,72,1,120,48,0.4,to go,mobile,F,TRUE,1643,evening,TRUE,FALSE,4.182765727,short,1/1/2024,Monday,1
alpha,alpha032462,1/1/2024 17:14:00,coffee,Americano,0.25,45,14.4,3,135,91.8,0.68,delivery,mobile,M,TRUE,848,evening,TRUE,FALSE,16.52906363,very long,1/1/2024,Monday,1
alpha,alpha032462,1/1/2024 17:14:00,smoothie,Kiwi Smoothie,1,90,40.5,4,360,198,0.55,delivery,mobile,M,TRUE,848,evening,TRUE,FALSE,16.52906363,very long,1/1/2024,Monday,1
alpha,alpha032463,1/1/2024 17:25:00,coffee,Americano,0.25,45,14.4,1,45,30.6,0.68,to go,credit card,F,FALSE,,evening,TRUE,FALSE,2.523208253,short,1/1/2024,Monday,1
alpha,alpha032464,1/1/2024 17:35:00,coffee,Iced Latte,0.5,65,22.75,1,65,42.25,0.65,to go,credit card,F,TRUE,1659,evening,TRUE,FALSE,5.086192765,moderate,1/1/2024,Monday,1
alpha,alpha032464,1/1/2024 17:35:00,bakery,Donut,,40,12,1,40,28,0.7,to go,credit card,F,TRUE,1659,evening,TRUE,FALSE,5.086192765,moderate,1/1/2024,Monday,1
alpha,alpha032465,1/1/2024 18:24:00,coffee,Mocha,0.25,70,30.1,1,70,39.9,0.57,to go,mobile,M,TRUE,1695,evening,TRUE,FALSE,3.175939998,short,1/1/2024,Monday,1
alpha,alpha032466,1/1/2024 18:29:00,smoothie,Mango Smoothie,0.5,90,31.5,3,270,175.5,0.65,eat in,mobile,M,FALSE,,evening,TRUE,FALSE,3.072191959,short,1/1/2024,Monday,1
alpha,alpha032467,1/1/2024 18:44:00,coffee,Americano,0.5,45,14.4,1,45,30.6,0.68,to go,credit card,F,FALSE,,evening,TRUE,FALSE,2.581535373,short,1/1/2024,Monday,1
alpha,alpha032468,1/1/2024 18:57:00,tea,Thai Tea,0.75,70,17.5,1,70,52.5,0.75,eat in,credit card,M,TRUE,1649,evening,TRUE,FALSE,2.69934149,short,1/1/2024,Monday,1
alpha,alpha032469,1/1/2024 19:14:00,tea,Green Tea,0.75,65,24.7,2,130,80.6,0.62,delivery,credit card,M,TRUE,1642,evening,TRUE,FALSE,12.261122,very long,1/1/2024,Monday,1
